FID,lamp_post_info_id,parent_id,department_id,responsible_id,lamp_status_id,lamp_survey_id,lamp_post_type_id,lamp_cover_type_id,single_tag_lamp_type_id,lamp_post_code,geom,color_code,longitude,latitude,iot_control_id,lux,lamp_survey_name,district_name,lamp_post_type_name
bma_streetlight.fid-122492c5_19f42063c6e_-2bf2,845072,629528,2,33,1,2,1,1,3,lamp-ID-df928e7e-e0ae-42b5-b55e-d82157564059,POINT (13.734976698334716 100.54942897804652),#9D5A9B,100.5494,13.735,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bf1,838918,454027,1,3,1,2,3,1,3,lamp-ID-6e3aaddf-f447-4bf2-8433-c06ac311bd01,POINT (13.734238 100.542404),#9D5A9B,100.5424,13.7342,2,,มี,ปทุมวัน,เสาเหล็กกิ่งคู่
bma_streetlight.fid-122492c5_19f42063c6e_-2bf0,524872,524872,1,3,1,1,2,1,10,lamp-ID-0cbd0a30-cf65-4cae-9e8c-d8581835097d,POINT (13.739715079081106 100.5430641225525),#ABABAB,100.5431,13.7397,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bef,423948,423948,2,33,1,1,2,1,10,lamp-ID-57346c80-c003-4df5-8e8b-9a848887c62d,POINT (13.738735889853505 100.51602470662966),#ABABAB,100.516,13.7387,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bee,860496,454596,1,3,2,2,2,1,3,lamp-ID-a119ba18-f117-4c76-94a7-fe24b400e911,POINT (13.734257 100.545844),#9D5A9B,100.5458,13.7343,1,,มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bed,860424,576284,1,3,1,2,9,1,3,lamp-ID-65788e84-4685-42f0-bfd6-aefd5d149c5f,POINT (13.740961 100.547025),#9D5A9B,100.547,13.741,1,,มี,ปทุมวัน,เสา คสล. กิ่งคู่ขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2bec,824796,824796,2,33,1,2,1,1,3,002489,POINT (13.750189 100.523322),#9D5A9B,100.5233,13.7502,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2beb,518636,518636,2,33,1,1,2,1,10,lamp-ID-4ac9b726-ae97-4070-8e8b-d022e32f9a02,POINT (13.730651759210161 100.54211359995787),#ABABAB,100.5421,13.7307,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
bma_streetlight.fid-122492c5_19f42063c6e_-2bea,409239,409239,2,33,1,2,1,1,3,lamp-ID-d31892dc-6122-4767-b5ae-fae6ee07a3e1,POINT (13.74725062192281 100.54604877679479),#9D5A9B,100.546,13.7473,2,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2be9,860550,834029,1,3,1,2,1,1,3,BMA-470,POINT (13.726559 100.544328),#9D5A9B,100.5443,13.7266,1,,มี,ปทุมวัน,เสา คสล. กิ่งเดี่ยวขาจับ
bma_streetlight.fid-122492c5_19f42063c6e_-2be8,700784,700784,2,33,1,1,2,1,2,lamp-ID-c088dc6e-aa7f-4500-8c81-e9f485bf191f,POINT (13.735892292357963 100.52463691635933),#16A3D4,100.5246,13.7359,2,,ไม่มี,ปทุมวัน,เสาเหล็กกิ่งเดี่ยว
